name,category,rating_value,rating_count,StoryLine,keywords,Genres
The Way I See It (2020),Documentary,8.4,520.0,Former Chief Official White House Photographer Pete Souza's journey as a person with top secret clearance and total access to the President.,"['title directed by female', 'f rated', 'protest', 'demonstration', 'child']",['Documentary']
小說家弒妻案 ,Documentary,7.9,17603.0,"Academy Award-winning documentary filmmaker, Jean-Xavier de Lestrade, presents a gripping courtroom thriller, offering a rare and revealing inside look at a high-profile murder trial. In 2001, author Michael Peterson was arraigned for the murder of his wife Kathleen, whose body was discovered lying in a pool of blood on the stairway of their home. Granted unusual access to Peterson's lawyers, home and immediate family, de Lestrade's cameras capture the defense team as it considers its strategic options. ""The staircase"" is an engrossing look at contemporary American justice that features more twists than a legal bestseller.","['columnist', 'blowpoke', 'blood', 'staircase', 'lawyer']","['Documentary', 'Crime', 'Drama']"
Hot Girls Wanted (2015),Documentary,6.1,15639.0,A documentary about young women who have been drawn into the sex trade - and how easy it is for a web-savvy generation to end up making porn.,"['freedom of choice', 'independent woman', ""woman's freedom"", 'consenting woman', 'consenting adult']",['Documentary']
宇宙大探索2 ,Documentary,9.2,3586.0,"Following the wildly successful ""Cosmos: A Spacetime Odyssey,"" Neil deGrasse Tyson returns as host to translate more revelations of science into a lavish transporting experience, taking audiences on a series of spiritual voyages of exploration. The show reveals previously uncharted realms, including lost worlds, worlds yet to come, and the worlds that humans may one day inhabit. Ann Druyan, original creative collaborator to Carl Sagan, whose iconic docuseries ""Cosmos"" provided inspiration for this series, serves as executive producer alongside Seth MacFarlane.","['space', 'science', 'astronomy', 'tv mini series']",['Documentary']
別惹喵皇：肉搜網際殺手 ,Documentary,8.1,33636.0,A group of online justice seekers track down a guy who posted a video of himself killing kittens.,"['tv mini series', 'censored profanity in title', 'animal in title', 'murder', 'killing an animal']","['Documentary', 'Crime']"
Real Detective ,Documentary,8.1,2496.0,"Real Detective is about real-life detectives and the true cases that consume and haunt them. Every detective has one. A case that pushes them to the brink. A case that takes hold of them and won't let go. A case so intense and personal it haunts them. When a real detective tells you their case, you never forget.","['detective', 'reenactment']","['Documentary', 'Crime', 'Drama']"
"Tiger King: Murder, Mayhem and Madness ",Documentary,7.6,61906.0,"Among the eccentrics and cult personalities in the stranger-than-fiction world of big cat owners, few stand out more than Joe Exotic, a mulleted, gun-toting polygamist and country western singer who presides over an Oklahoma roadside zoo. Charismatic but misguided, Joe and an unbelievable cast of characters including drug kingpins, conmen, and cult leaders all share a passion for big cats and the status and attention their dangerous menageries garner. But things take a dark turn when Carole Baskin, an animal activist and owner of a big cat sanctuary, threatens to put them out of business, stoking a rivalry that eventually leads to Joe's arrest for a murder-for-hire plot, and reveals a twisted tale where the only thing more dangerous than a big cat is its owner.","['tv mini series', 'true crime', 'cult', 'animal rights activist', 'oklahoma']","['Documentary', 'Crime']"
Agents of Chaos ,Documentary,6.8,506.0,"Was there Russian interference in the 2016 election? This two-part documentary directed by Emmy(R) and Academy Award(R) Winner Alex Gibney is a product of years of reporting on that disturbing question. With never-before-seen footage inside Russian troll farms, and videos unearthed from the Russian deep web, the film digs into the sophisticated plans to undermine democracy.","['tv mini series', 'year 2016', 'washington d.c.', 'election tampering']","['Documentary', 'History']"
地球脈動 ,Documentary,9.4,163958.0,"Each 50 minute episode features a global overview of a different biome or habitat on Earth (Polar, Mountain, Cave, Desert, Plains, Fresh Water, Seas, Ocean, Forest), followed by a ten-minute featurette which takes a behind-the-scenes look at the challenges of filming the episode.","['animal', 'life', 'earth', 'tv mini series', 'nature']",['Documentary']
謀殺犯的形成 ,Documentary,8.6,85006.0,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","['small town', 'police corruption', 'justice system', 'archive footage', 'judgmental']","['Documentary', 'Crime']"
Class Action Park (2020),Documentary,7.0,2315.0,A documentary that focuses on a dangerously legendary water park and its slew of injuries and crimes along with child safety concerns.,['water'],['Documentary']
Rise of Empires: Ottoman ,Documentary,8.0,16599.0,Ottoman Sultan Mehmed II wages an epic campaign to take the Byzantine capital of Constantinople and shapes the course of history for centuries.,"['tv mini series', 'istanbul', 'ottoman', 'byzantium', 'roman empire']","['Documentary', 'Drama', 'History', 'War']"
Alone ,Documentary,8.4,3020.0,"Ten people try to survive as long as they can in the Vancouver Island wilderness, carrying only what can fit in a backpack. Alone in harsh, unforgiving terrain, these men must hunt, build shelters and fend off predators, all while documenting the experience themselves. It's the ultimate test of man's will.","['wilderness', 'survival', 'nature', 'bushcraft']","['Documentary', 'Reality-TV']"
你不知道的小小世界 ,Documentary,9.2,425.0,A look at the world through the eyes of the tiniest creatures and witness the extraordinary things they do to survive.,[],['Add content advisory for parents »']
三個一模一樣的陌生人 (2018),Documentary,7.7,25097.0,"New York, 1980: three complete strangers accidentally discover that they are identical triplets, separated at birth. The 19-year-olds' joyous reunion catapults them to international fame, but it also unlocks an extraordinary and disturbing secret that goes beyond their own lives - and could transform our understanding of human nature forever.","['adoption', 'triplets', 'suicide', 'twin', 'depression']","['Documentary', 'Biography', 'Drama', 'History', 'Mystery']"
All or Nothing: Tottenham Hotspur ,Documentary,8.2,2927.0,An inside look at the 2019/20 season of the Premier League team Tottenham Hotspur.,"['team', 'football club', 'football', 'manager', 'north london']","['Documentary', 'Sport']"
Abducted in Plain Sight (2017),Documentary,6.8,14898.0,"In 1974, 12-year-old Jan Broberg was abducted from a small community in Idaho. When Jan was returned 5 weeks later, she assured her parents and the courts that ""nothing had happened""....enabling a pedophile to go free, and paving the way for Jan's second abduction and years of sexual, emotional, and psychological abuse.","['pedophile', 'suicide', 'abduction', 'arson', 'four word title']","['Documentary', 'Crime']"
SCAM 1992: The Harshad Mehta Story ,Drama,9.6,35985.0,"Set in 1980's & 90's Bombay, Scam 1992 follows the life of Harshad Mehta - a stockbroker who single-handedly took the stock market to dizzying heights & his catastrophic downfall. Being directed by National Award-winning filmmaker Hansal Mehta, the series is based on journalist Debashis Basu & Sucheta Dalal's book ""The Scam"".","['1980s', 'year in title', 'character name in title', 'number in title']","['Biography', 'Crime', 'Drama']"
The Right Stuff ,Drama,6.5,717.0,"U.S. fighter pilots are recruited to test experimental aircraft and rockets to become first Mercury astronauts. TV adaptation of Tom Wolfe's book, 'The Right Stuff'.","['experimental', 'soldier']","['Drama', 'History']"
浴血黑幫 ,Drama,8.8,316922.0,"Peaky Blinders is an English television crime drama set in 1920s Birmingham, England in the aftermath of World War I. The series, which was created by Steven Knight and produced by Caryn Mandabach Productions, Screen Yorkshire and Tiger Aspect Productions, follows the exploits of the Shelby crime family. Screen Yorkshire provided funding for the production through the Yorkshire Content Fund. It was the first production to receive funding from the Yorkshire Content Fund, which in turn made certain the majority of the show was filmed in Yorkshire as part of the deal.","['gypsy', '1920s', 'gangster', 'birmingham england', 'race fixing']","['Crime', 'Drama']"
白宮風雲 ,Drama,8.8,61808.0,"Presidential advisers get their personal lives hopelessly tangled up with professional duties as they try to conduct the business of running a country. Fictional Democratic President Josiah ""Jed"" Bartlet suffers no fools, and that policy alienates many. He and his dedicated staffers struggle to balance the needs of the country with the political realities of Washington, D.C., working through two presidential terms that include countless scandals, threats and political scuffles, as well as the race to succeed Bartlet as the leader of the free world.","['dialogue driven', 'president', 'politics', 'american politics', 'ensemble cast']",['Drama']
無恥之徒 ,Drama,8.6,195925.0,"Watch the Irish American family the Gallaghers dealing with their alcoholic father Frank. Fiona, the eldest daughter, takes the role of the parent to her five brothers and sisters. Lip, Ian, Debbie, Carl, and Liam deal with life on the South Side of Chicago. Fiona balances her sex life and raising her siblings. Every episode is another crazy situation that one or more of the Gallagher six get into. Watch them grow and learn how to make their way in life with what little they have.","['gay relationship', 'alcoholic father', 'poor family', 'brother sister relationship', 'gay brother']","['Comedy', 'Drama']"
The War with Grandpa (2020),Family,5.5,6177.0,"Peter is thrilled that Grandpa is coming to live with his family. That is, until Grandpa moves into Peter's room, forcing him upstairs into the creepy attic. And though he loves his grandpa he wants his room back - so he has no choice but to declare war. With the help of his friends, Peter devises outrageous plans to make Grandpa surrender the room. But Grandpa is tougher than he looks. Rather than give in, Grandpa plans to get even.","['mother son relationship', 'room', 'family conflict', 'family relationships', 'grandfather grandson relationship']","['Comedy', 'Drama', 'Family']"
花木蘭 (2020),Family,5.4,64698.0,A young Chinese maiden disguises herself as a male warrior in order to save her father.,"['remake', 'brunette female', 'chinese', 'chinawoman', 'disney live action remake of animated film']","['Action', 'Adventure', 'Drama', 'Family']"
天菜老爸 ,Family,7.2,2299.0,"A widower is eager to move on from the most difficult year of his life, only to realize he's utterly unprepared to raise his two daughters on his own and equally unprepared for the dating world where he's suddenly a hot commodity.","['widower', 'dating', 'sitcom', 'flirting', 'parenting']","['Comedy', 'Drama', 'Family']"
蜘蛛人：新宇宙 (2018),Family,8.4,345865.0,"Miles Morales is a New York teen struggling with school, friends and, on top of that, being the new Spider-Man. When he comes across Peter Parker, the erstwhile saviour of New York, in the multiverse, Miles must train to become the new protector of his city.","['teenage superhero', 'interdimensional travel', 'multiverse', 'marvel comics', 'wisecrack humor']","['Animation', 'Action', 'Adventure', 'Family', 'Sci-Fi']"
降世神通 ,Family,9.2,236457.0,"The world is divided into four elemental nations: The Northern and Southern Water Tribes, the Earth Kingdom, the Fire Nation, and the Air Nomads. The Avatar upholds the balance between the nations, but everything changed when the Fire Nation invaded. Only the Avatar, master of all four elements, can stop them. But when the world needs him most, he vanishes. A hundred years later Katara and Sokka discover the new Avatar, an airbender named Aang. Together they must help Aang master the elements and save the world.","['child hero', 'hero', 'anime', 'supernatural power', 'avatar']","['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Heartland ,Family,8.4,8862.0,"A multi-generational saga set in Alberta, Canada and centered on a family getting through life together in both happy and trying times.","['set in canada', 'canadian content', 'alberta canada', 'treatment', 'horse']","['Drama', 'Family']"
怪獸與葛林戴華德的罪行 (2018),Family,6.6,214219.0,"In an effort to thwart Grindelwald's plans of raising pure-blood wizards to rule over all non-magical beings, Albus Dumbledore enlists his former student Newt Scamander, who agrees to help, though he's unaware of the dangers that lie ahead. Lines are drawn as love and loyalty are tested, even among the truest friends and family, in an increasingly divided wizarding world.","['magical creature', 'paris france', 'sequel', 'wizard', 'witch']","['Adventure', 'Family', 'Fantasy']"
Secret Society of Second-Born Royals (2020),Family,4.7,2221.0,It follows Sam's adventures at a top-secret training program for a new class of second-born royals tasked with saving the world.,"['teenager', 'pretty girl', 'teenage girl', 'teenage boy', 'secret society']","['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
哈利波特：火盃的考驗 (2005),Family,7.7,535813.0,"Harry's (Daniel Radcliffe's) fourth year at Hogwarts is about to start and he is enjoying the summer vacation with his friends. They get the tickets to The Quidditch World Cup Final, but after the match is over, people dressed like Lord Voldemort's (Ralph Fiennes') ""Death Eaters"" set a fire to all of the visitors' tents, coupled with the appearance of Voldemort's symbol, the ""Dark Mark"" in the sky, which causes a frenzy across the magical community. That same year, Hogwarts is hosting ""The Triwizard Tournament"", a magical tournament between three well-known schools of magic : Hogwarts, Beauxbatons, and Durmstrang. The contestants have to be above the age of seventeen, and are chosen by a magical object called ""The Goblet of Fire"". On the night of selection, however, the Goblet spews out four names instead of the usual three, with Harry unwittingly being selected as the Fourth Champion. Since the magic cannot be reversed, Harry is forced to go with it and brave three exceedingly ...","['tournament', 'wizard', 'magic', 'school of magic', 'heroism']","['Adventure', 'Family', 'Fantasy', 'Mystery']"
E.T.外星人 (1982),Family,7.8,365684.0,"After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.","['friendly alien', 'empathy', 'extraterrestrial', 'bicycle', 'alien']","['Family', 'Sci-Fi']"
½的魔法 (2020),Family,7.4,84215.0,"In a suburban fantasy world, two teenage elf brothers, Ian and Barley Lightfoot, go on a journey to discover if there is still a little magic left out there in order to spend one last day with their father, who died when they were too young to remember him. Like any good quest, their journey is filled with magic spells, cryptic maps, impossible obstacles and unimaginable discoveries. When the boys' fearless mom, Laurel, realizes that her sons are missing, she teams up with the legendary winged-lion-scorpion former warrior -- The Manticore -- and heads off to find them. Perilous curses aside, this one magical day could mean more than any of them ever dreamed.","['manticore', 'cgi animation', 'brother brother relationship', 'creature', 'computer animation']","['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
七寶奇謀 (1985),Family,7.8,240205.0,Mikey and his friends have always wanted to go on an adventure. One night they are all in Mikey's attic and Mikey stumbles across an old map. Mikey has always wanted to know if One-eyed Willy ever was a real person and now he might. They set off and later realize that they have to go through the evil Mama Fratelli's restaurant to get to a secret passage to the caves. As they try to get into the caves Mama Fratelli catches Chuck and he is left behind. He then meets Sloth one of Mama Fratelli's sons with a messed up face. He befriends Sloth. Meanwhile Mama Fratelli and her sons are trying to get to the treasure too. Will the kids make it there before Mama Fratelli does? Will Chuck ever get out of her basement?,"['treasure hunt', 'group of friends', 'treasure map', 'teen comedy', 'treasure']","['Adventure', 'Comedy', 'Family']"
尖叫旅社 (2012),Family,7.1,220524.0,"In 1895, Dracula builds a resort in Transylvania, hidden from the humans, to raise his beloved daughter Mavis in a safe environment. In the present, the place is the Hotel Transylvania, where monsters bring their families to vacation far from the frightening humans. Dracula invites his friends - Frankenstein and his wife Eunice; Wayne and Wanda, the werewolves; Griffin, the invisible man; Murray, the mummy; Bigfoot, among others - to celebrate the 118th birthday of Mavis. When the party is ready to start, the 21-year-old Jonathan is walking through the forest and stumbles upon the hotel. Dracula sees Jonathan and disguises him as a monster to hide Jonathan from the guests. But Mavis also sees Jonathan and Dracula forces him to pose as a monster. Soon Mavis believes that Jonathan is the ""zing"" of her life despite the advice of her father about humans.","['dracula', 'monster', 'hotel', 'transylvania', 'invisible man']","['Animation', 'Comedy', 'Family', 'Fantasy']"
左右做人難 ,Family,8.0,115089.0,"An offbeat, laugh track-lacking sitcom about a bizarrely dysfunctional family, the center of which is Malcolm, the middle of the two brothers who still live at home. His eldest (and favorite) sibling, Francis, boards at military school because his parents believe it will reform him and keep him out of trouble. Malcolm often has a hard time coping with his family life, but he has more troubles to contend with when he starts receiving special treatment at school after being diagnosed as an intellectually advanced genius.","['father son relationship', 'exploitation of friendship', 'three sons', 'male protagonist', 'dysfunctional family']","['Comedy', 'Family']"
The Legend of Korra ,Family,8.4,98765.0,"Taking place 70 years after the events of ""Avatar: The Last Airbender,"" this story follows the adventures of the Avatar after Aang - a passionate, rebellious, and fearless teenage girl from the Southern Water Tribe named Korra. With three of the four elements under her belt (Earth, Water, and Fire), Korra seeks to master the final element, Air. Her quest leads her to the epicenter of the modern ""Avatar"" world, Republic City - a metropolis that is fueled by steampunk technology. It is a virtual melting pot where benders and non-benders from all nations live and thrive. However, Korra discovers that Republic City is plagued by crime as well as a growing anti-bending revolution that threatens to rip it apart. Under the tutelage of Aang's son, Tenzin, Korra begins her airbending training while dealing with the dangers at large.","['good versus evil', 'warrior woman', 'female warrior', 'female protagonist', 'anime']","['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']"
鬼屋 (2003),Family,5.0,41932.0,"Realtor workaholic Jim Evers and his wife and business partner Sara gets a call late one night from mansion owner Edward Gracey, who is looking to sell his property. Smelling the biggest deal of their career, Jim, Sara and their two children pay a visit to the mansion, located on a remote bayou. A torrential thunderstorm of mysterious origin strands the Evers family in the old mansion with the brooding, eccentric Gracey, his mysterious butler, Ramsley, and a variety of residents both seen and unseen. At first Jim scoffs at Gracey's stories about ghosts and hauntings, until he unearths the mystery of the mansion and finds that his wife Sara has unexpected connections to its haunted past!","['haunted house', 'ghost', 'thunderstorm', 'crystal ball', 'arachnophobia']","['Comedy', 'Family', 'Fantasy', 'Horror', 'Mystery']"
哈利波特：阿茲卡班的逃犯 (2004),Family,7.9,538982.0,"Harry Potter (Daniel Radcliffe) is having a tough time with his relatives (yet again). He runs away after using magic to inflate Uncle Vernon's (Richard Griffiths') sister Marge (Pam Ferris), who was being offensive towards Harry's parents. Initially scared for using magic outside the school, he is pleasantly surprised that he won't be penalized after all. However, he soon learns that a dangerous criminal and Voldemort's trusted aide Sirius Black (Gary Oldman) has escaped from Azkaban Prison and wants to kill Harry to avenge the Dark Lord. To worsen the conditions for Harry, vile creatures called Dementors are appointed to guard the school gates and inexplicably happen to have the most horrible effect on him. Little does Harry know that by the end of this year, many holes in his past (whatever he knows of it) will be filled up and he will have a clearer vision of what the future has in store.","['magic', 'wizard', 'school of magic', 'wrongful conviction', 'magical map']","['Adventure', 'Family', 'Fantasy', 'Mystery']"
勇敢的安妮 ,Family,8.7,33124.0,"The adventures of a young orphan girl living in the late 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's classic novels.","['found family', 'slow burn romance', 'netflix original', 'orphan', 'enemies become lovers']","['Drama', 'Family']"
哈利波特：消失的密室 (2002),Family,7.4,541449.0,"Forced to spend his summer holidays with his muggle relations, Harry Potter (Daniel Radcliffe) gets a real shock when he gets a surprise visitor: Dobby (Toby Jones) the house-elf, who warns Harry against returning to Hogwarts, for terrible things are going to happen. Harry decides to ignore Dobby's warning and continues with his pre-arranged schedule. But at Hogwarts, strange and terrible things are indeed happening. Harry is suddenly hearing mysterious voices from inside the walls, muggle-born students are being attacked, and a message scrawled on the wall in blood puts everyone on his or her guard, ""The Chamber Of Secrets Has Been Opened. Enemies Of The Heir, Beware"".","['invisibility cloak', 'basilisk', 'killing a monster', 'child protagonist', 'sequel']","['Adventure', 'Family', 'Fantasy', 'Mystery']"
公主新娘 (1987),Family,8.1,388350.0,"An elderly man reads the book ""The Princess Bride"" to his sick and thus currently bedridden adolescent grandson, the reading of the book which has been passed down within the family for generations. The grandson is sure he won't like the story, with a romance at its core, he preferring something with lots of action and ""no kissing"". But the grandson is powerless to stop his grandfather, whose feelings he doesn't want to hurt. The story centers on Buttercup, a former farm girl who has been chosen as the princess bride to Prince Humperdinck of Florian. Buttercup does not love him, she who still laments the death of her one true love, Westley, five years ago. Westley was a hired hand on the farm, his stock answer of ""as you wish"" to any request she made of him which she came to understand was his way of saying that he loved her. But Westley went away to sea, only to be killed by the Dread Pirate Roberts. On a horse ride to clear her mind of her upcoming predicament of marriage, Buttercup...","['true love', 'giant', 'fairy tale', 'pirate', 'princess']","['Adventure', 'Family', 'Fantasy', 'Romance']"
Peppa Pig ,Family,6.3,3532.0,"Peppa is a loveable, cheeky little piggy who lives with her little brother George, Mummy Pig and Daddy Pig. Peppa's favourite things include playing games, dressing up, days out and jumping in muddy puddles. Her adventures always end happily with loud snorts of laughter.","['family relationships', 'voice over narration', 'pig', 'animal protagonist', 'talking animal']","['Animation', 'Family']"
祕密花園 (2020),Family,5.5,3460.0,"The main character Mary Lennox ""Dixie Egerickx"" is a spoiled 10-year-old girl of rich parents who grew up in India. After everyone in her family dies from cholera, Mary is sent to live in Misselthwaite manor in Yorkshire with her uncle Archibald Craven ""Colin Firth"" and the housekeeper Mrs. Medlock ""Julie Walters"". Mary discovers that the house holds many secrets. There she finds a key that leads her to a garden held locked for years by her uncle after the death of his wife. Soon she finds a room in the manor where her sick cousin Colin ""Edan Hayhurst"" has spend his entire life in his bed, completely unable to walk. But with the help of her new friend Dickon ""Amir Wilson"" the children manage to bring the garden back to life. In the garden Colin learns to walk and he becomes a healthy and happy young boy. When Lord Craven one day sees the children playing in the garden, he is amazed by the sight of his son walking. He feels joy for the first time since years.","['yorkshire', 'nineteenth century', 'garden', 'england', 'uncle']","['Drama', 'Family', 'Fantasy']"
納尼亞傳奇：獅子．女巫．魔衣櫥 (2005),Family,6.9,361111.0,"Four children from the same family have to leave their town because of the bombings of WWII. A woman and a professor take the children to their house. While playing a game of hide-and-seek, the youngest member of the family, Lucy, finds a wardrobe to hide in. She travels back and back into the wardrobe and finds a place named Narnia. After going in twice, the four children go in together for the last time. They battle wolves, meet talking animals, encounter an evil white witch and meet a magnificent lion named Aslan. Will this be the end of their journey to Narnia or will they stay?","['sister sister relationship', 'based on novel', 'witch', 'santa claus character', 'the white witch character']","['Adventure', 'Family', 'Fantasy']"
The Worst Witch ,Family,7.3,1735.0,"Mildred Hubble lives an ordinary life with her mum Julie, until the day that Maud Spellbody crashes her broomstick into their balcony and nothing is ever the same again. Maud introduces Mildred to Cackle's Academy - a school for young witches set high on a mountaintop. Under the watchful eye of friendly headmistress Miss Cackle and scary deputy Miss Hardbroom, Mildred begins her training, but no matter how hard she tries, her spells have a habit of going badly wrong, causing chaos. Will Mildred always be The Worst Witch..?","['witch', 'fitting in', 'school of magic', 'magic', 'magical object']","['Family', 'Fantasy']"
小鬼當家 (1990),Family,7.6,454916.0,"It is Christmas time and the McCallister family is preparing for a vacation in Paris, France. But the youngest in the family, Kevin (Macaulay Culkin), got into a scuffle with his older brother Buzz (Devin Ratray) and was sent to his room, which is on the third floor of his house. Then, the next morning, while the rest of the family was in a rush to make it to the airport on time, they completely forgot about Kevin, who now has the house all to himself. Being home alone was fun for Kevin, having a pizza all to himself, jumping on his parents' bed, and making a mess. Then, Kevin discovers about two burglars, Harry (Joe Pesci) and Marv (Daniel Stern), about to rob his house on Christmas Eve. Kevin acts quickly by wiring his own house with makeshift booby traps to stop the burglars and to bring them to justice.","['christmas', 'home alone', 'burglary', 'child protagonist', 'booby trap']","['Comedy', 'Family']"
Scooby-Doo (2002),Family,5.1,97721.0,"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways. Fred, Daphne, Velma, Shaggy and Scooby soon realize that they cannot solve this mystery without help from each other.","['coca cola', 'good versus evil', 'island', 'amusement park', 'motorcycle']","['Adventure', 'Comedy', 'Family', 'Fantasy', 'Mystery']"
第十四道門 (2009),Family,7.7,193266.0,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.","['parallel worlds', 'button eyes', 'character name as title', 'stop motion', 'one word title']","['Animation', 'Drama', 'Family', 'Fantasy', 'Thriller']"
極地守護犬 (2020),Family,6.8,31834.0,"The Call of the Wild is a vibrant story of Buck, a big and kindhearted dog, a crossbreed between a St. Bernard and a Scotch Collie, whose carefree life of leisure was suddenly upset when he was stolen from his home in Santa Clara County, California and deported up north, to be sold in Skagway, Alaska, and taken further north, to Dawson City, Yukon, during the late 1890s Klondike Gold Rush, when strong sled dogs were in high demand. As a newcomer to the dog team delivery service - and not before long their front-runner - Buck, a dog like no other, who had been spoiled, and who had suffered, but he could not be broken, is having the time of his life. Forced to fight to survive, eventually taken by his last owner, John Thornton, to proximity of the Arctic Circle, somewhere between Yukon and Alaska, he progressively depends on his primal instincts, sheds the comforts of civilization and responds to ""the call of the wild"", as master of his own.","['1890s', 'alaska', 'snow', 'based on novel', 'remake']","['Adventure', 'Drama', 'Family']"
哈利波特：鳳凰會的密令 (2007),Family,7.5,499069.0,"After a lonely summer on Privet Drive, Harry (Daniel Radcliffe) returns to a Hogwarts full of ill-fortune. Few of students and parents believe him or Dumbledore (Sir Michael Gambon) that Voldemort (Ralph Fiennes) is really back. The ministry had decided to step in by appointing a new Defense Against the Dark Arts teacher, Professor Dolores Umbridge (Imelda Staunton), who proves to be the nastiest person Harry has ever encountered. Harry also can't help stealing glances with the beautiful Cho Chang (Katie Leung). To top it off are dreams that Harry can't explain, and a mystery behind something for which Voldemort is searching. With these many things, Harry begins one of his toughest years at Hogwarts School of Witchcraft and Wizardry.","['friendship', 'school of magic', 'teen angst', 'rescue operation', 'good versus evil']","['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
Monster Hunter (2020),Fantasy,,,"When Lt. Artemis and her loyal soldiers are transported to a new world, they engage in a desperate battle for survival against enormous enemies with incredible powers. Feature film based on the video game by Capcom.","['based on video game', 'two word title', 'parallel world', 'soldier', 'female soldier']","['Action', 'Adventure', 'Fantasy']"
女巫也瘋狂 (1993),Fantasy,6.9,97372.0,"300 years have passed since the Sanderson sisters were executed for practicing dark witchcraft. Returning to life thanks to a combination of a spell spoken before their demise and the accidental actions of Max, the new-kid-in-town, the sisters have but one night to secure their continuing existence...","['year 1993', '17th century', 'halloween', 'spell', 'witch']","['Comedy', 'Family', 'Fantasy']"
魔鬼神探 ,Fantasy,8.2,216596.0,"Lucifer Morningstar, bored from his sulking life in hell, comes to live in Los Angeles. While there, he helps humanity with its miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While meeting with a Detective in his nightclub (Lux), a shootout involving him and the Detective leads him to become an LAPD consultant who tries to punish people for their crimes through law and justice.","['devil', 'female police detective', 'fallen angel', 'the devil', 'lapd']","['Crime', 'Drama', 'Fantasy']"
Jiu Jitsu (2020),Fantasy,,,"A new Sci-Fi Martial Arts franchise from Dimitri Logothetis, Director/Producer of Kickboxer: Retaliation.","['based on comic', 'martial arts', 'martial artist', 'alien', 'alien invasion']","['Action', 'Fantasy']"
阿達一族 (1991),Fantasy,6.9,131693.0,The Addams Family steps out of Charles Addams' cartoons. They live with all of the trappings of the macabre (including a detached hand for a servant) and are quite wealthy. Added to this mix is a crooked accountant and his loan shark and a plot to slip the shark's son into the family as their long-lost Uncle Fester. Can the false Fester find his way into the vault before he is discovered?,"['fish out of water', 'gothic', 'graveyard', 'party', 'dancing']","['Comedy', 'Fantasy']"
陰間大法師 (1988),Fantasy,7.5,257116.0,"Adam and Barbara are a normal couple...who happen to be dead. They have given their precious time to decorate their house and make it their own, but unfortunately a family is moving in, and not quietly. Adam and Barbara try to scare them out, but end up becoming the main attraction to the money making family. They call upon Beetlejuice to help, but Beetlejuice has more in mind than just helping.","['ghost', 'attic', 'teenage girl', 'black comedy', 'shrunken head']","['Comedy', 'Fantasy']"
哈利波特：神秘的魔法石 (2001),Fantasy,7.6,636196.0,"This is the tale of Harry Potter (Daniel Radcliffe), an ordinary eleven-year-old boy serving as a sort of slave for his aunt and uncle who learns that he is actually a wizard and has been invited to attend the Hogwarts School for Witchcraft and Wizardry. Harry is snatched away from his mundane existence by Rubeus Hagrid (Robbie Coltrane), the groundskeeper for Hogwarts, and quickly thrown into a world completely foreign to both him and the viewer. Famous for an incident that happened at his birth, Harry makes friends easily at his new school. He soon finds, however, that the wizarding world is far more dangerous for him than he would have imagined, and he quickly learns that not all wizards are ones to be trusted.","['magic', 'wizard', 'school of magic', 'based on novel', 'abusive uncle']","['Adventure', 'Family', 'Fantasy']"
Halloweentown (1998),Fantasy,6.8,13288.0,"Marnie, Dylan, and Sophie Piper have their first out of many adventures! On Halloween, while Marnie is arguing with her mother Gwen, the kids' grandmother Aggie comes to visit. Aggie wants to start Marnie's witch training before her 13th birthday or Marnie will lose her powers forever. But there is another reason for Aggie's visit. Something dark & evil is growing in Halloweentown & Aggie wants help to defeat it. While Aggie & Gwen are arguing, Aggie uses magic which Marnie observes. After Aggie leaves to return to Halloweentown, Marnie, Dylan and, unknown to Marnie and Dylan, Sophie follow her onto the return bus. Soon afterwards, Gwen follows the children to Halloweentown. While there, Aggie & Gwen are attacked by the dark force in a movie theater. Marnie, Dylan & Sophie race to get the ingredients to activate Merlin's Wand to stop the evil.","['witch', 'girl', 'magic', 'halloween', 'grandmother']","['Adventure', 'Comedy', 'Family', 'Fantasy']"
